7‏/5‏/2023, 8:35:02 م | ERROR | Request POST received on ( Merchant/addImagesProduct/644fc3f05bf7d170a8b2da5d ) | DATA: {"message":"Unhandled error","error":{"storageErrors":[]},"stack":"Error: File type not supported , Your File is text/plain\n    at DiskStorage.destination [as getDestination] (A:\\Final-project\\Node-Project\\src\\middlewares\\uploadImages.js:21:12)\n    at DiskStorage._handleFile (A:\\Final-project\\Node-Project\\node_modules\\multer\\storage\\disk.js:31:8)\n    at A:\\Final-project\\Node-Project\\node_modules\\multer\\lib\\make-middleware.js:145:17\n    at allowAll (A:\\Final-project\\Node-Project\\node_modules\\multer\\index.js:8:3)\n    at wrappedFileFilter (A:\\Final-project\\Node-Project\\node_modules\\multer\\index.js:44:7)\n    at Busboy.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\multer\\lib\\make-middleware.js:115:7)\n    at Busboy.emit (node:events:520:28)\n    at Busboy.emit (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\main.js:38:33)\n    at PartStream.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\types\\multipart.js:213:13)\n    at PartStream.emit (node:events:520:28)"} | 
7‏/5‏/2023, 8:38:17 م | ERROR | Request POST received on ( Merchant/addImagesProduct/644fc3f05bf7d170a8b2da5d ) | DATA: {"message":"Unhandled error","error":{"storageErrors":[]},"stack":"Error: File type not supported , Your File is text/plain\n    at DiskStorage.destination [as getDestination] (A:\\Final-project\\Node-Project\\src\\middlewares\\uploadImages.js:21:12)\n    at DiskStorage._handleFile (A:\\Final-project\\Node-Project\\node_modules\\multer\\storage\\disk.js:31:8)\n    at A:\\Final-project\\Node-Project\\node_modules\\multer\\lib\\make-middleware.js:145:17\n    at allowAll (A:\\Final-project\\Node-Project\\node_modules\\multer\\index.js:8:3)\n    at wrappedFileFilter (A:\\Final-project\\Node-Project\\node_modules\\multer\\index.js:44:7)\n    at Busboy.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\multer\\lib\\make-middleware.js:115:7)\n    at Busboy.emit (node:events:520:28)\n    at Busboy.emit (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\main.js:38:33)\n    at PartStream.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\types\\multipart.js:213:13)\n    at PartStream.emit (node:events:520:28)"} | 
8‏/5‏/2023, 11:05:14 ص | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:05:17 ص | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 10:38:01 م | ERROR | Request POST received on ( allUsers/upladImage ) | DATA: {"message":"Unhandled error","error":{"errno":-4058,"code":"ENOENT","syscall":"open","path":"A:\\Final-project\\Node-Project\\public\\uploads\\3D\\1683574681679-482309961.jpg","storageErrors":[]},"stack":"Error: ENOENT: no such file or directory, open 'A:\\Final-project\\Node-Project\\public\\uploads\\3D\\1683574681679-482309961.jpg'"} | 
8‏/5‏/2023, 11:00:03 م | ERROR | Request POST received on ( allUsers/upladImage ) | DATA: {"message":"Unhandled error","error":{"name":"MulterError","message":"Unexpected field","code":"LIMIT_UNEXPECTED_FILE","field":"vrImage","storageErrors":[]},"stack":"MulterError: Unexpected field\n    at wrappedFileFilter (A:\\Final-project\\Node-Project\\node_modules\\multer\\index.js:40:19)\n    at Busboy.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\multer\\lib\\make-middleware.js:115:7)\n    at Busboy.emit (node:events:520:28)\n    at Busboy.emit (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\main.js:38:33)\n    at PartStream.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\types\\multipart.js:213:13)\n    at PartStream.emit (node:events:520:28)\n    at HeaderParser.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\Dicer.js:51:16)\n    at HeaderParser.emit (node:events:520:28)\n    at HeaderParser._finish (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\HeaderParser.js:68:8)\n    at SBMH.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\HeaderParser.js:40:12)"} | 
8‏/5‏/2023, 11:00:13 م | ERROR | Request POST received on ( allUsers/upladImage ) | DATA: {"message":"Unhandled error","error":{"name":"MulterError","message":"Unexpected field","code":"LIMIT_UNEXPECTED_FILE","field":"vrImage","storageErrors":[]},"stack":"MulterError: Unexpected field\n    at wrappedFileFilter (A:\\Final-project\\Node-Project\\node_modules\\multer\\index.js:40:19)\n    at Busboy.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\multer\\lib\\make-middleware.js:115:7)\n    at Busboy.emit (node:events:520:28)\n    at Busboy.emit (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\main.js:38:33)\n    at PartStream.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\busboy\\lib\\types\\multipart.js:213:13)\n    at PartStream.emit (node:events:520:28)\n    at HeaderParser.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\Dicer.js:51:16)\n    at HeaderParser.emit (node:events:520:28)\n    at HeaderParser._finish (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\HeaderParser.js:68:8)\n    at SBMH.<anonymous> (A:\\Final-project\\Node-Project\\node_modules\\dicer\\lib\\HeaderParser.js:40:12)"} | 
8‏/5‏/2023, 11:13:39 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:16:57 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:16:59 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:17:05 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:17:35 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:17:37 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:18:32 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:19:06 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:20:05 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:20:24 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:28:08 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:28:14 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:29:49 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:29:50 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
8‏/5‏/2023, 11:29:54 م | ERROR | Unhandled rejection | DATA: {"reason":{"code":"ERR_HTTP_HEADERS_SENT"},"promise":{}} | 
